Timestamp,EventID,Description
2024-07-15 15:55:14.0647632,1102.0,Log Cleared: Unknown
2024-07-15 15:55:14.1272487,104.0,Log Cleared: Unknown
2024-07-15 15:55:14.4712327,104.0,Log Cleared: Unknown
2024-07-15 15:55:14.4869028,104.0,Log Cleared: Unknown
2024-07-15 15:55:14.5177742,104.0,Log Cleared: Unknown
2024-07-15 15:55:54.8474864,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 15:56:10.0491802,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:01:24.4292999,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:01:24.5684820,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:01:25.0396094,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:01:25.5137693,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:01:25.9510367,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:01:55.5460470,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:10:40.5629636,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:10:40.6882002,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:11:13.2274590,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:15:03.0862242,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:15:03.1724629,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:21:46.9626650,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:27:44.4165265,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:27:44.4931575,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:31:20.1434175,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:32:20.5203556,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:33:22.3441192,7045.0,Service Installed: Visual Studio Installer Elevation Service
2024-07-15 16:33:45.0139032,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:35:08.2415567,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:36:00.7646381,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:36:16.5685973,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:36:21.1764793,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:41:03.5458192,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:46:15.4255596,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:46:16.1484385,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:46:35.2268173,4688.0,Process Created: Registry
2024-07-15 16:46:35.2309265,4688.0,Process Created: C:\Windows\System32\smss.exe
2024-07-15 16:46:35.8188438,4688.0,Process Created: C:\Windows\System32\autochk.exe
2024-07-15 16:46:36.5174902,4688.0,Process Created: C:\Windows\System32\smss.exe
2024-07-15 16:46:36.5878071,4688.0,Process Created: C:\Windows\System32\csrss.exe
2024-07-15 16:46:36.7834922,4688.0,Process Created: C:\Windows\System32\smss.exe
2024-07-15 16:46:36.7872445,4688.0,Process Created: C:\Windows\System32\wininit.exe
2024-07-15 16:46:36.7944713,4688.0,Process Created: C:\Windows\System32\csrss.exe
2024-07-15 16:46:36.8639306,4688.0,Process Created: C:\Windows\System32\winlogon.exe
2024-07-15 16:46:36.9484016,4688.0,Process Created: C:\Windows\System32\services.exe
2024-07-15 16:46:37.0316347,4688.0,Process Created: C:\Windows\System32\lsass.exe
2024-07-15 16:46:37.1171765,4624.0,Logon: SYSTEM (Type 0)
2024-07-15 16:46:37.3483607,4624.0,Logon: UMFD-0 (Type 2)
2024-07-15 16:46:37.3503445,4624.0,Logon: UMFD-1 (Type 2)
2024-07-15 16:46:37.3515137,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:46:37.6978470,4624.0,Logon: NETWORK SERVICE (Type 5)
2024-07-15 16:46:37.8036543,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:46:38.0923139,4624.0,Logon: DWM-1 (Type 2)
2024-07-15 16:46:38.0923315,4624.0,Logon: DWM-1 (Type 2)
2024-07-15 16:46:38.4797650,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:46:38.5108774,4624.0,Logon: LOCAL SERVICE (Type 5)
2024-07-15 16:46:38.6777559,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:46:38.8253037,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:46:38.8478901,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:46:39.0389061,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:46:39.1682883,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:46:39.3431520,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:46:39.6080734,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:46:39.6571723,4624.0,Logon: SYSTEM (Type 5)
2024-07-15 16:46:40.4705649,4624.0,Logon: SYSTEM (Type 5)
